,ABVP_FT,ABVP_PT,ABVT_FT,ABVT_PT,ACLAM_FT,ACLAM_PT,ACPV_FT,ACPV_PT,ACT_FT,ACT_PT,ACVAA_FT,ACVAA_PT,ACVB_FT,ACVB_PT,ACVCP_FT,ACVCP_PT,ACVD_FT,ACVD_PT,ACVECC_FT,ACVECC_PT,ACVIM_CARD_FT,ACVIM_CARD_PT,ACVIM_INTMET_FT,ACVIM_INTMET_PT,ACVIM_LA_FT,ACVIM_LA_PT,ACVIM_NEUR_FT,ACVIM_NEUR_PT,ACVIM_ONC_FT,ACVIM_ONC_PT,ACVM_FT,ACVM_PT,ACVN_FT,ACVN_PT,ACVO_FT,ACVO_PT,ACVPM_FT,ACVPM_PT,ACVP_FT,ACVP_PT,ACVR_FT,ACVR_ONC_FT,ACVR_ONC_PT,ACVR_PT,ACVSMR_FT,ACVSMR_PT,ACVS_FT,ACVS_PT,ACZM_FT,ACZM_PT,AVDC_FT,AVDC_PT,address,arthroscopy,avg_daily_ER_cases,avg_daily_cases,avg_daily_inpatient_cases,avg_daily_outpatient_cases,avg_daily_surgeries,avg_num_interns_completed_past_5_years,avg_num_interns_started_past_5_years,basic_clinical_laboratory_equipment,blood_gas_analysis,blood_pressure_monitoring,bone_plating_equipment,complex_cases,computer_with_internet,contact,contact_email,ct_scan,current_medical_textbooks,daily_patient_rounds,daytime_primary_emergency,diagnostic_laboratory,digital_radiography,direct_supervision_percentage,echocardiography,elective_time,electrocardiography,endoscopy,faculty_support,fax,financial_support_for_meeting,first_opinion,first_opinion_clinics,formal_orientation_required,icu,laparoscopy,mri,name,nuclear_medicine,num_interns_accepted_residency_past_5_years,num_interns_applied_residency_past_5_years,number_of_positions,orientation_manual,overnight_primary_emergency,phone,physical_therapy_equipment,presentation,primary_surgeon,professional_meeting_opportunity,program_categories,program_details_url,publication_requirement,resident_support,salary,satellite_clinic,search_engines,tech_assigned_to_ER,tech_assigned_to_ICU,tech_direct_support,total_annual_cases,ultrasound,vet_mentor,weekly_teaching_rounds,written_evals
5,1,1,,,,,,,,,2,,,,,,,,4,,3,,4,3,,,3,1,1,,,,,1,2,1,,,2,,2,1,,,,,4,,,,1,,"350 South Huntington Avenue, Boston, Massachusetts 02130, United States",Yes,62,212,59,153,20,16,16,Yes,Yes,Yes,Yes,Yes,Yes," Megan Whelan DVM, DACVECC, CVA ",alowery@mspca.org,Yes,Yes,Yes,60,Yes,Yes,98,Yes,15,Yes,Yes,55,617-522-0733,No,Yes,95,Yes,Yes,Yes,Yes,Angell Animal Medical Center,Yes,51,63,19,Yes,15,781-522-7282,Yes,Yes,Yes,No,['SMALL ANIMAL MEDICINE/SURGERY'],https://www.virmp.org/Program/Detail/9619,No,14,30500.0,0,Yes,6,3,89,77629,Yes,Yes,Yes,Yes
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"350 South Huntington Avenue, Boston, Massachusetts 02130, United States",No,1,10,0,10,2,0,1,Yes,No,Yes,No,No,Yes, Laurence Sawyer ,Lsawyer@mspca.org,No,Yes,No,1,Yes,Yes,95,No,1,Yes,No,1,617-522-0733,No,Yes,78,Yes,No,No,No,Angell Animal Medical Center,No,0,0,1,Yes,1,781-522-7282,No,Yes,Yes,No,"['SMALL ANIMAL MEDICINE/SURGERY', 'COMMUNITY PRACTICE']",https://www.virmp.org/Program/Detail/9935,No,0,30500.0,22,Yes,0,0,1,2400,Yes,Yes,No,Yes
24,,,,,,,,,,,,,,,,,,,,2,,1,1,,,,,,1,,,,,,1,1,,,,,,,,1,,,2,,,,,," 1425 Michigan Street NE, Suite F , Grand Rapids, Michigan 49503, United States",Yes,22,51,9,42,3,0,0,Yes,Yes,Yes,Yes,Yes,Yes," Amanda Conkling, DVM ",amanda.conkling@bluepearlvet.com,Yes,Yes,Yes,2,Yes,Yes,85,No,8,Yes,Yes,7,616-284-5320,Yes,Yes,15,Yes,Yes,Yes,No,BluePearl Veterinary Partners Michigan (GR),No,,,1,Yes,15,616-284-5300,No,Yes,No,Yes,['SMALL ANIMAL MEDICINE/SURGERY'],https://www.virmp.org/Program/Detail/10024,No,0,30500.0,0,Yes,3,2,3,18336,Yes,Yes,Yes,Yes
25,,,,,,,,,,,,,,,,,,1,,2,,,2,,,,,,1,,,,,,1,1,,,,,,,,1,,,2,,,,,," 1425 Michigan Street NE, Suite F , Grand Rapids, Michigan 49503, United States",Yes,22,51,9,42,3,3,3,Yes,Yes,Yes,Yes,No,Yes," Amber D. Binoniemi, DVM ",amber.binoniemi@bluepearlvet.com,Yes,Yes,Yes,7,Yes,Yes,80,Yes,12,Yes,Yes,11,616-284-5320,No,Yes,40,Yes,Yes,Yes,Yes,BluePearl Veterinary Partners Michigan (GR),Yes,,,6,Yes,35,616-284-5300,Yes,Yes,No,Yes,['SMALL ANIMAL MEDICINE/SURGERY'],https://www.virmp.org/Program/Detail/10021,No,0,30500.0,16,Yes,3,2,21,18336,Yes,Yes,Yes,Yes
51,,1,,,,,,,1,,3,,,,,,1,,2,,1,,7,,,,3,,4,,,,,,2,,,,,,2,,,,,,6,1,2,1,,,"College of Veterinary Medicine, 2200 College Station Rd, Athens, Georgia 30602, United States",Yes,8,82,67,46,24,7,7,Yes,Yes,Yes,Yes,Yes,Yes, Dr. Gary Baxter ,bhogan76@uga.edu,Yes,Yes,Yes,0,Yes,Yes,80,Yes,12,Yes,Yes,35,706-357-0107,Yes,Yes,18,Yes,Yes,Yes,Yes,University of Georgia,Yes,,,7,Yes,14,706-583-0681,Yes,Yes,No,Yes,['SMALL ANIMAL MEDICINE/SURGERY'],https://www.virmp.org/Program/Detail/9926,No,22,28588.0,0,Yes,4,4,65,22068,Yes,Yes,Yes,Yes
52,,1,,,,,,,1,,3,,,,,,1,,2,,1,,7,,,,3,,4,,,,,,2,,,,,,2,,,,,,6,1,2,1,,,"College of Veterinary Medicine, 2200 College Station Rd, Athens, Georgia 30602, United States",Yes,8,82,67,46,24,7,7,Yes,Yes,Yes,Yes,Yes,Yes, Dr. Gary Baxter ,bhogan76@uga.edu,Yes,Yes,Yes,0,Yes,Yes,80,Yes,12,Yes,Yes,35,706-357-0107,Yes,Yes,18,Yes,Yes,Yes,Yes,University of Georgia,Yes,,,1,Yes,14,706-583-0681,Yes,Yes,No,Yes,"['SMALL ANIMAL MEDICINE/SURGERY', 'OTHER']",https://www.virmp.org/Program/Detail/9977,No,22,28588.0,0,Yes,4,4,65,22068,Yes,Yes,Yes,Yes
73,1,1,,,,,,,,,,,,,,,,,,,1,,3,,,,2,,1,,,,,,0,,,,,,2,,,4,,,3,1,,,,,"1053 S. Cleveland Massillon Rd, Akron, Ohio 44321, United States",Yes,25,87.79,37,44,15,5,5,Yes,Yes,Yes,Yes,Yes,Yes," Dr. Josh Collins, DVM, DACVS ",internship@metropolitanvet.com,Yes,Yes,Yes,35,Yes,Yes,90,Yes,10,Yes,Yes,22,330-666-0519,Yes,Yes,0,Yes,Yes,Yes,Yes,Metropolitan Veterinary Hospital / Metropolitan Veterinary Referral Group,Yes,,,4,Yes,15,330-666-2976,No,Yes,Yes,Yes,['SMALL ANIMAL MEDICINE/SURGERY'],https://www.virmp.org/Program/Detail/9648,No,3,28000.0,5,Yes,4,1,40,32043,Yes,Yes,Yes,Yes
74,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1053 S. Cleveland Massillon Rd, Akron, Ohio 44321, United States",Yes,3-4,15-20,12,25,3-4,2,2,Yes,Yes,Yes,Yes,Yes,Yes," Dr. Gary Riggs, ABVP:Avian ",garyriggs@aol.com,Yes,Yes,Yes,20,Yes,Yes,70,Yes,10,Yes,Yes,2,330-666-0519,Yes,Yes,80,Yes,Yes,Yes,Yes,Metropolitan Veterinary Hospital / Metropolitan Veterinary Referral Group,No,1,1,1,Yes,10,330-666-2976,Yes,Yes,Yes,Yes,"['AVIAN', 'EXOTIC/WILDLIFE/ZOO', 'SMALL ANIMAL MEDICINE/SURGERY']",https://www.virmp.org/Program/Detail/10155,No,1,30000.0,20,Yes,2,2,6,6000-7000,Yes,Yes,Yes,Yes
76,,,,,,,,,,,1,,,,,,2,,2,,1,,1,,,,1,,,,,,,,1,,,,,,,,,,,,5,,,,,,"1321 Centerview Circle, Akron, Ohio 44321, United States",Yes,18,40,12,28,6,0,0,Yes,Yes,Yes,Yes,Yes,Yes," James Vogt, DVM, DACVS ",james.vogt@medvetforpets.com,Yes,Yes,Yes,10,Yes,Yes,80,Yes,15,Yes,Yes,30,330-665-5972,Yes,Yes,10,Yes,Yes,Yes,Yes,MedVet Medical & Cancer Centers for Pets,Yes,0,0,2,Yes,25,330-665-4996,Yes,Yes,No,Yes,['SMALL ANIMAL MEDICINE/SURGERY'],https://www.virmp.org/Program/Detail/10109,No,4,30000.0,50,Yes,4,0,32,14000,Yes,Yes,Yes,Yes
77,,,,,,,,,,,1,,,,,,,,1,,1,,4,,,,3,,2,,,,,,,,,,,,2,1,,,,,3,,,,,,"3123 N. Clybourn Avenue, Chicago, Illinois 60618, United States",Yes,56,75,30,40,8,1,1,Yes,Yes,Yes,Yes,Yes,Yes," Jayme Hoffberg, DVM, DACVECC ",jayme.hoffberg@medvetforpets.com,Yes,Yes,Yes,10,Yes,Yes,80,Yes,15,Yes,Yes,42,773-880-6083,Yes,Yes,10,Yes,Yes,Yes,Yes,MedVet Medical & Cancer Centers for Pets,Yes,0,0,4,Yes,25,773-281-7110,Yes,Yes,No,Yes,['SMALL ANIMAL MEDICINE/SURGERY'],https://www.virmp.org/Program/Detail/10107,No,0,40000.0,0,Yes,4,4,20,35000,Yes,Yes,Yes,Yes
