,ABVP_FT,ABVP_PT,ABVT_FT,ABVT_PT,ACLAM_FT,ACLAM_PT,ACPV_FT,ACPV_PT,ACT_FT,ACT_PT,ACVAA_FT,ACVAA_PT,ACVB_FT,ACVB_PT,ACVCP_FT,ACVCP_PT,ACVD_FT,ACVD_PT,ACVECC_FT,ACVECC_PT,ACVIM_CARD_FT,ACVIM_CARD_PT,ACVIM_INTMET_FT,ACVIM_INTMET_PT,ACVIM_LA_FT,ACVIM_LA_PT,ACVIM_NEUR_FT,ACVIM_NEUR_PT,ACVIM_ONC_FT,ACVIM_ONC_PT,ACVM_FT,ACVM_PT,ACVN_FT,ACVN_PT,ACVO_FT,ACVO_PT,ACVPM_FT,ACVPM_PT,ACVP_FT,ACVP_PT,ACVR_FT,ACVR_ONC_FT,ACVR_ONC_PT,ACVR_PT,ACVSMR_FT,ACVSMR_PT,ACVS_FT,ACVS_PT,ACZM_FT,ACZM_PT,AVDC_FT,AVDC_PT,address,arthroscopy,avg_daily_ER_cases,avg_daily_cases,avg_daily_inpatient_cases,avg_daily_outpatient_cases,avg_daily_surgeries,avg_num_interns_completed_past_5_years,avg_num_interns_started_past_5_years,basic_clinical_laboratory_equipment,blood_gas_analysis,blood_pressure_monitoring,bone_plating_equipment,complex_cases,computer_with_internet,contact,contact_email,ct_scan,current_medical_textbooks,daily_patient_rounds,daytime_primary_emergency,diagnostic_laboratory,digital_radiography,direct_supervision_percentage,echocardiography,elective_time,electrocardiography,endoscopy,faculty_support,fax,financial_support_for_meeting,first_opinion,first_opinion_clinics,formal_orientation_required,icu,laparoscopy,mri,name,nuclear_medicine,num_interns_accepted_residency_past_5_years,num_interns_applied_residency_past_5_years,number_of_positions,orientation_manual,overnight_primary_emergency,phone,physical_therapy_equipment,presentation,primary_surgeon,professional_meeting_opportunity,program_categories,program_details_url,publication_requirement,resident_support,salary,satellite_clinic,search_engines,tech_assigned_to_ER,tech_assigned_to_ICU,tech_direct_support,total_annual_cases,ultrasound,vet_mentor,weekly_teaching_rounds,written_evals
0,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,"2809 W 16th ave, Vancouver, British Columbia V6K 3C5, Canada",Yes,0.1,8-12,1,10-12,1,1,1,Yes,No,Yes,No,No,Yes, Uri Burstyn ,arbutuswestac@gmail.com,No,Yes,No,0,Yes,Yes,70,Yes,0,Yes,Yes,1,604-736-7770,Yes,Yes,30,No,No,Yes,No,Arbutus West Animal Clinic,No,0,0,1,No,0,604-736-6701,Yes,Yes,Yes,Yes,"['EXOTIC/WILDLIFE/ZOO', 'SMALL ANIMAL MEDICINE/SURGERY', 'OTHER']",https://www.virmp.org/Program/Detail/9673,No,0,35000.0,0,Yes,0,0,1,1500,Yes,Yes,Yes,No
1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,1,,,,,"3832 Monroe Road, Charlotte, North Carolina 28205, United States",No,24,100,8,80,5,4,4,Yes,Yes,Yes,Yes,Yes,Yes," Dr. Richard M. Coe, Jr. ",akemp@animalmedical.net,No,Yes,No,25,Yes,Yes,75,Yes,5,Yes,No,12,(704) 358-3564,Yes,Yes,100,Yes,Yes,No,No,Animal Medical Hospital,No,1,2,5,Yes,20,(704) 334-4684,No,Yes,Yes,Yes,"['EMERGENCY MEDICINE/CRITICAL CARE', 'SMALL ANIMAL MEDICINE/SURGERY', 'SMALL ANIMAL INTERNAL MEDICINE']",https://www.virmp.org/Program/Detail/9760,No,0,35000.0,0,Yes,1,1,6,36500,Yes,Yes,Yes,Yes
2,1,1,,,,,,,,,1,,,,2,,,,5,,3,,8,,,,3,,3,,,,,,1,,,,2,,2,1,,,,,5,,,,,1,"510 East 62nd Street, New York, New York 10065, United States",Yes,45,145,50,125,10,20,20,Yes,Yes,Yes,Yes,Yes,Yes, Tanesha Jackson ,education@amcny.org,Yes,Yes,Yes,20,Yes,Yes,80,Yes,10,Yes,Yes,41,212-308-2358,No,Yes,0,Yes,Yes,Yes,Yes,The Animal Medical Center,No,72,76,25,Yes,5,212-329-8614,Yes,Yes,Yes,No,"['AVIAN', 'EMERGENCY MEDICINE/CRITICAL CARE', 'SMALL ANIMAL MEDICINE/SURGERY', 'SMALL ANIMAL SURGERY', 'ONCOLOGY', 'NEUROLOGY', 'CARDIOLOGY', 'SMALL ANIMAL INTERNAL MEDICINE', 'DERMATOLOGY', 'DIAGNOSTIC IMAGING AND RADIOLOGY', 'SPORTS MEDICINE AND REHABILITATION', 'PATHOLOGY/CLINICAL PATHOLOGY', 'OPHTHALMOLOGY']",https://www.virmp.org/Program/Detail/10353,No,25,27260.0,0,Yes,2,3,80,51000,Yes,Yes,Yes,Yes
3,,,,,,,,,,,,,,,,,1,,4,,2,,2,,,,1,,1,,,,,,,,,,,,2,,,,,,,,,,2,,"1163 Helmo Ave. North, Oakdale, Minnesota 55128, United States",Yes,25,43,15,28,4,3,3,Yes,Yes,Yes,Yes,Yes,Yes," Sarah Humphrey, DVM, DACVECC ",sarahhumphrey1112@gmail.com,Yes,Yes,Yes,27,Yes,Yes,100,Yes,7,Yes,Yes,29,651-501-3763,Yes,Yes,15,Yes,Yes,Yes,Yes,Animal Emergency and Referral Center of Minnesota,Yes,,,4,Yes,7,651-501-3766,Yes,Yes,Yes,Yes,"['EMERGENCY MEDICINE/CRITICAL CARE', 'SMALL ANIMAL MEDICINE/SURGERY']",https://www.virmp.org/Program/Detail/10334,No,0,28000.0,12,Yes,4,3,60,16104,Yes,Yes,Yes,Yes
4,1,1,,,,,,,,,2,,,,,,,,4,,3,,4,3,,,3,1,1,,,,,1,2,1,,,2,,2,1,,,,,4,,,,1,,"350 South Huntington Avenue, Boston, Massachusetts 02130, United States",Yes,62,212,59,153,20,16,16,Yes,Yes,Yes,Yes,Yes,Yes," Megan Whelan DVM, DACVECC, CVA ",alowery@mspca.org,Yes,Yes,Yes,60,Yes,Yes,98,Yes,15,Yes,Yes,55,617-522-0733,No,Yes,95,Yes,Yes,Yes,Yes,Angell Animal Medical Center,Yes,51,63,19,Yes,15,781-522-7282,Yes,Yes,Yes,No,['SMALL ANIMAL MEDICINE/SURGERY'],https://www.virmp.org/Program/Detail/9619,No,14,30500.0,0,Yes,6,3,89,77629,Yes,Yes,Yes,Yes
5,,,,,,,,,,,,,,1,,,,3,,,,1,5,,,,2,,1,1,,,,,,3,,,,,2,1,,,,,6,,,,,1,"9905 South US Hwy 17-92, Maitland, Florida 32751, United States",Yes,5,40,25,35,8,2,2,Yes,Yes,Yes,Yes,Yes,Yes," Kara L. Fiore, DVM, DACVS ",vet@AVSspecialists.com,Yes,Yes,Yes,0,Yes,Yes,80,Yes,2,Yes,Yes,18,407-478-3608,No,No,0,Yes,Yes,Yes,Yes,Affiliated Veterinary Specialists,Yes,,,3,Yes,0,407-644-1287,Yes,Yes,No,Yes,['SMALL ANIMAL MEDICINE/SURGERY'],https://www.virmp.org/Program/Detail/10400,No,4,26000.0,0,Yes,0,0,22,12000,Yes,Yes,Yes,Yes
6,1,,,,,,,,,,,,,,,,,1,,,1,,1,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,1,"414 E. Carrillo Street, Santa Barbara, California 93101, United States",Yes,10,33,15,20,5,0,0,Yes,Yes,Yes,Yes,Yes,Yes," Andrea Wells, DVM, DACVIM ",JanetW@AVS4pets.com,Yes,Yes,Yes,60,Yes,Yes,90,Yes,10,Yes,Yes,11,805-965-8387,Yes,Yes,0,Yes,Yes,Yes,No,Advanced Veterinary Specialists,No,0,0,4,Yes,40,805-729-4460,No,Yes,Yes,Yes,['SMALL ANIMAL MEDICINE/SURGERY'],https://www.virmp.org/Program/Detail/10302,No,0,50000.0,5,Yes,2,2,3,12045,Yes,Yes,Yes,Yes
7,,,,,,,,,,,,,,,,,,1,,,3,,3,,,,2,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,"Previously BluePearl Hope Advanced Veterinary Center, 1 Taft Ct, Rockville, Maryland 20850, United States",Yes,14,40,8,32,3,0,1,Yes,Yes,Yes,Yes,No,Yes, Craig Randolph ,Craig.randolph@bluepearlvet.com,Yes,Yes,No,0,Yes,Yes,100,Yes,10,Yes,Yes,15,301-795-0145,No,Yes,0,Yes,Yes,Yes,Yes,BluePearl Veterinary Partners DC Metro,Yes,0,0,2,Yes,50,301-637-3228,Yes,Yes,No,Yes,['SMALL ANIMAL MEDICINE/SURGERY'],https://www.virmp.org/Program/Detail/10180,No,0,30500.0,0,Yes,1,1,12,17000,Yes,Yes,Yes,Yes
8,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,"1591 Winchester Road, Suite 106, Lexington, Kentucky 40505, United States",No,15-20,30-40,10-12,20,3,3,3,Yes,Yes,Yes,Yes,Yes,Yes, Antu Radhakrishnan ,bgvs01@yahoo.com,Yes,Yes,Yes,10,Yes,Yes,100,Yes,12,Yes,Yes,10,859-335-8635,Yes,Yes,5,Yes,Yes,Yes,No,Bluegrass Veterinary Specialists + Animal Emergency,No,1,1,4,Yes,25,859-268-7604,Yes,Yes,Yes,Yes,"['EMERGENCY MEDICINE/CRITICAL CARE', 'SMALL ANIMAL MEDICINE/SURGERY', 'SMALL ANIMAL SURGERY', 'SMALL ANIMAL INTERNAL MEDICINE', 'SPORTS MEDICINE AND REHABILITATION']",https://www.virmp.org/Program/Detail/9780,No,0,35000.0,0,Yes,3,3,12,15000,Yes,Yes,Yes,Yes
9,,,,,,,,,,,,,,,,,,,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,"4224 Northern Pike, Monroeville, Pennsylvania 15146, United States",Yes,32,42,7,35,2,2,2,Yes,Yes,Yes,Yes,Yes,Yes, Breahna Schilke ,hr@avets.com,Yes,Yes,Yes,38,Yes,Yes,100,Yes,4,Yes,Yes,19,412-373-6101,Yes,Yes,0,Yes,Yes,Yes,Yes,Avets,No,1,1,2,Yes,12,412-373-4650,Yes,Yes,Yes,Yes,"['EMERGENCY MEDICINE/CRITICAL CARE', 'SMALL ANIMAL MEDICINE/SURGERY']",https://www.virmp.org/Program/Detail/9687,No,3,33000.0,0,Yes,2,1,18,15354,Yes,Yes,Yes,Yes
